type,10/12/2023,10/17/2023,10/25/2023,10/29/2023,11/05/2023,11/10/2023,11/17/2023,11/18/2023,11/22/2023,11/29/2023,12/04/2023,12/11/2023,12/16/2023,12/23/2023,12/24/2023,12/28/2023,01/04/2024,01/05/2024,01/09/2024,1/16/2024,1/17/2024,1/21/2024,1/28/2024,1/29/2024,02/02/2024,02/09/2024,02/10/2024,2/14/2024,2/21/2024,2/22/2024,2/26/2024,03/04/2024,03/05/2024,03/09/2024,3/16/2024,3/17/2024,3/21/2024,3/28/2024,3/29/2024,04/02/2024,04/09/2024,4/21/2024,05/04/2024,05/08/2024,5/15/2024,5/16/2024,5/27/2024,06/01/2024,07/03/2024,7/27/2024,08/12/2024,09/01/2024,09/05/2024,09/12/2024,9/13/2024,9/17/2024,9/24/2024,9/25/2024,10/31/2024
area,2778184.781,6596048.127,12862586.72,16471506.28,20347001.64,24822434.35,34275968.7,38189770.3,41727337.93,43750434.81,46481056.29,54045230.8,58055195.81,60658384.85,61949284.35,62276309.56,63683352.1,65759978.49,67345317.4,68416942.73,69090403.55,69678141.47,71115739.05,71816219.28,73508033.28,73841667.77,74370678.6,74950616.92,75140394.32,75363383.52,75631993.05,75884395.6,76014549.24,76264050.34,76619995.59,76846787.74,77074180.32,77317178.51,77454134.85,77569883.7,77833595.73,77972653.31,78183341.44,78549299.66,79272417.24,79372660.65,79473904.76,79643880.65,80129894.87,80559280.98,80912731.47,81187546.31,81439550.27,81719067.32,81921651.1,82308313.38,82449873.73,82591132.23,82823128.13
cumul_perc,2.21494727,5.25879304,10.25487992,13.1321423,16.221936,19.79003829,27.3270028,30.44733671,33.26771274,34.88065545,37.0576822,43.08832776,46.2853293,48.36075873,49.38994669,49.65067219,50.77245683,52.42807671,53.69201068,54.54637919,55.08330539,55.55188779,56.69803288,57.25650068,58.60532342,58.87131826,59.29307966,59.75544372,59.90674644,60.08452775,60.29868051,60.49991203,60.60367887,60.80259717,61.08637957,61.26719283,61.4484848,61.64221855,61.75140894,61.84369135,62.05393951,62.16480515,62.33277925,62.62454463,63.2010604,63.28098088,63.36169918,63.49721488,63.88469661,64.22703079,64.50882421,64.72792424,64.92883798,65.15168692,65.31319972,65.62147171,65.7343327,65.84695305,66.03191508
