system:index,2023-10-12,2023-10-17,2023-10-25,2023-10-29,2023-11-05,2023-11-10,2023-11-17,2023-11-18,2023-11-22,2023-11-29,2023-12-04,2023-12-11,2023-12-16,2023-12-23,2023-12-24,2023-12-28,2024-01-04,2024-01-05,2024-01-09,2024-01-16,2024-01-17,2024-01-21,2024-01-28,2024-01-29,2024-02-02,2024-02-09,2024-02-10,2024-02-14,2024-02-21,2024-02-22,2024-02-26,2024-03-04,2024-03-05,2024-03-09,2024-03-16,2024-03-17,2024-03-21,2024-03-28,2024-03-29,2024-04-02,2024-04-09,2024-04-21,2024-05-04,2024-05-08,2024-05-15,2024-05-16,2024-05-27,2024-06-01,2024-07-02,2024-07-03,2024-07-27,2024-08-12,2024-09-01,2024-09-05,2024-09-12,2024-09-13,2024-09-17,2024-09-24,2024-09-25,2024-10-31,id,.geo
1_gaza_damage_20231012T154103_000000000000000000cb,0.0,8403.716331481934,51126.48287634756,72235.82006506826,78438.55167822744,80039.25993018056,96565.80191037047,119380.55073759789,125086.59938261742,125086.59938261742,133690.4067632937,134490.76259062524,145995.84247801534,150697.91282866232,152098.53454802267,156300.38864348165,163703.66528532736,175508.89049742452,184017.34806273214,185618.05328581564,187218.76306364767,192721.19433806173,206532.00094053976,222539.0807058596,262360.220583179,269963.5859091067,277366.8435766482,282669.18756315944,282669.18756315944,283569.58809111355,284670.07736418484,293373.92846892116,299476.63150236843,301077.3363363528,306087.7991125369,317792.97899840114,320799.01012633083,322199.6291754031,325100.9108526492,327501.9776937747,337906.56630919216,337906.56630919216,348011.04677794216,362320.49905497243,455265.10729319253,470471.8349848429,488792.4560436472,504705.7783223167,545248.4366093649,555352.8959675803,560855.3262196555,560856.8955359659,560856.8955359659,566361.6781908516,574165.9057201006,582169.4294246294,593974.6635097124,598779.1403479477,608183.3118414779,616486.9908499618,204,"{""type"":""Polygon"",""coordinates"":[[[34.26024522634476,31.28181547187116],[34.260125256277774,31.272797383367987],[34.27062995432409,31.27269394018949],[34.27075084281178,31.28171200163933],[34.26024522634476,31.28181547187116]]]}"
1_gaza_damage_20231012T154103_000000000000000000cc,0.0,10604.708541870117,29713.143028259277,34415.22555541992,36115.97986602783,36118.33384049359,44523.61219458487,60533.03421562046,72138.1622292313,72138.1622292313,74339.1380821976,76340.02488487095,101756.74399342254,102757.18478932098,112861.64076771453,112861.64076771453,114362.30618061736,132370.25407185275,136171.93128742892,149577.84172596651,152579.1653877707,152579.1653877707,161486.63470997533,171491.05107655248,183501.06831898412,187502.84083332738,191904.7787376853,197907.4272972556,199411.2267041076,201512.1574978698,201512.1574978698,207014.58311127312,207014.58311127312,207314.71590851434,214617.9421048034,224822.46393250118,233234.4223370422,234534.9962887634,237336.22851990353,237339.36715252453,237839.58932049328,252946.27772076183,257248.1859925514,282287.8803676529,435987.31534229295,448192.7115825273,473609.851293077,483921.4734331311,497530.631535967,501432.35257478536,512940.57510022854,519947.1873438809,522748.4313014004,526950.292660043,529852.354288108,542557.96364022,546859.8643665385,548162.0121588011,548162.0121588011,548162.0121588011,205,"{""type"":""Polygon"",""coordinates"":[[[34.260125256277774,31.272797383367987],[34.26000537083453,31.26377478320359],[34.27050898089814,31.26367134165341],[34.27062995432409,31.27269394018949],[34.260125256277774,31.272797383367987]]]}"
1_gaza_damage_20231012T154103_000000000000000000cd,0.0,0.0,0.0,0.0,1100.4892654418945,1100.4892654418945,4802.128868103027,4802.128868103027,6002.6618728637695,12305.43960571289,12805.66072845459,14906.591415405273,17707.836067199707,17907.92430114746,17907.92430114746,17907.92430114746,17907.92430114746,19008.40884399414,19008.40884399414,19008.40884399414,19008.40884399414,19008.40884399414,19708.720329284668,19708.720329284668,23210.27407836914,23210.27407836914,23610.452117919922,25114.650665283203,25114.650665283203,25114.650665283203,25114.650665283203,25114.650665283203,25114.650665283203,25114.650665283203,27115.540351867676,27115.540351867676,28616.201316833496,30316.957069396973,30321.665046691895,30321.665046691895,30321.665046691895,32022.420768737793,32322.554290771484,68851.25912364885,109077.27641185684,118088.32269939347,131694.3367527382,154204.30937084122,156505.32845195694,157509.29904827042,161711.15094646378,171524.89369090958,178227.85681041642,181037.32903286803,190941.70019528258,190941.70019528258,201746.4625930487,210950.51957699648,214452.0673980414,214952.28719326845,206,"{""type"":""Polygon"",""coordinates"":[[[34.26000537083453,31.26377478320359],[34.259885485230534,31.254752157524408],[34.270388176858035,31.254648743101715],[34.27050898089814,31.26367134165341],[34.26000537083453,31.26377478320359]]]}"
1_gaza_damage_20231012T154103_000000000000000000ce,0.0,0.0,0.0,5.884971618652344,5.884971618652344,1606.5919723510742,2907.166160583496,4507.878227233887,4507.878227233887,4507.878227233887,8616.764907836914,9417.120384216309,13121.120376586914,13121.120376586914,13121.120376586914,13121.120376586914,13121.120376586914,13121.120376586914,13121.120376586914,13121.120376586914,14721.824447631836,14721.824447631836,16222.484512329102,16522.61775970459,18623.547073364258,18623.547073364258,19423.9002532959,19423.9002532959,19423.9002532959,20024.166702270508,20024.166702270508,20024.166702270508,20024.166702270508,20824.522758483887,20824.522758483887,20824.522758483887,20824.522758483887,20824.522758483887,20824.522758483887,20824.522758483887,20824.522758483887,20824.522758483887,20824.522758483887,61046.937438964844,88358.99555206299,102565.26307678223,105268.8045425415,106974.26139831543,107474.48178100586,109175.23506164551,110575.85569763184,116278.3688659668,120584.97310638428,125390.22657665178,127591.19901164934,128991.81741222307,132093.1858204262,134894.42506297992,135694.7784717934,139596.50563701557,207,"{""type"":""Polygon"",""coordinates"":[[[34.259885485230534,31.254752157524408],[34.25976576903563,31.245733993794335],[34.27026737265459,31.24563065721765],[34.270388176858035,31.254648743101715],[34.259885485230534,31.254752157524408]]]}"
1_gaza_damage_20231012T154103_000000000000000000cf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.7954635620117,1800.7954635620117,1800.7954635620117,1800.7954635620117,1800.7954635620117,3201.4141998291016,3201.4141998291016,3201.4141998291016,3501.5473251342773,3501.5473251342773,3501.5473251342773,3501.5473251342773,4201.857437133789,4201.857437133789,6702.961372375488,6702.961372375488,6702.961372375488,6702.961372375488,6702.961372375488,6702.961372375488,6702.961372375488,6702.961372375488,6702.961372375488,6702.961372375488,6903.049964904785,7103.138786315918,7103.138786315918,7103.138786315918,7103.138786315918,7103.138786315918,7103.138786315918,8403.712112426758,9904.375373840332,12005.30379486084,12005.30379486084,12005.30379486084,12405.480857849121,12405.480857849121,12405.480857849121,13606.012908935547,15806.979988098145,16007.068237304688,16307.20166015625,17207.59730529785,17607.773796081543,17607.773796081543,21009.27735900879,21009.27735900879,208,"{""type"":""Polygon"",""coordinates"":[[[34.25976576903563,31.245733993794335],[34.25964596789544,31.23671137085251],[34.27014665306286,31.236608061114605],[34.27026737265459,31.24563065721765],[34.25976576903563,31.245733993794335]]]}"
1_gaza_damage_20231012T154103_000000000000000000d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.1324157714844,700.3094940185547,700.3094940185547,700.3094940185547,700.3094940185547,1000.442024230957,1700.751350402832,1700.751350402832,1700.751350402832,1700.751350402832,1700.751350402832,1700.751350402832,2100.928398132324,2100.928398132324,2100.928398132324,2100.928398132324,2100.928398132324,2100.928398132324,2100.928398132324,2100.928398132324,2100.928398132324,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,2200.9727096557617,209,"{""type"":""Polygon"",""coordinates"":[[[34.25964596789544,31.23671137085251],[34.25952633616499,31.227693211947685],[34.27002601808319,31.22758987722202],[34.27014665306286,31.236608061114605],[34.25964596789544,31.23671137085251]]]}"
1_gaza_damage_20231012T154103_000000000000000000d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.08802032470703,200.08802032470703,200.08802032470703,200.08802032470703,200.08802032470703,200.08802032470703,200.08802032470703,200.08802032470703,200.08802032470703,200.08802032470703,200.08802032470703,200.08802032470703,400.17604064941406,400.17604064941406,400.17604064941406,400.17604064941406,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,500.2200622558594,210,"{""type"":""Polygon"",""coordinates"":[[[34.25952633616499,31.227693211947685],[34.25940670427451,31.218670492107798],[34.26990529816537,31.218567312063417],[34.27002601808319,31.22758987722202],[34.25952633616499,31.227693211947685]]]}"
1_gaza_damage_20231012T154103_000000000000000000d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,"{""type"":""Polygon"",""coordinates"":[[[34.27489570999197,31.588403839310114],[34.285430287051206,31.58829830385386],[34.285554206878246,31.59732031409288],[34.27501862719731,31.597425907997273],[34.27489570999197,31.588403839310114]]]}"
1_gaza_damage_20231012T154103_000000000000000000d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212,"{""type"":""Polygon"",""coordinates"":[[[34.27489570999197,31.588403839310114],[34.2747729621588,31.579386193162634],[34.2853065365734,31.579280715631988],[34.285430287051206,31.58829830385386],[34.27489570999197,31.588403839310114]]]}"
1_gaza_damage_20231012T154103_000000000000000000d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213,"{""type"":""Polygon"",""coordinates"":[[[34.2747729621588,31.579386193162634],[34.27465012938615,31.570364073326516],[34.28518270116323,31.57025865394896],[34.2853065365734,31.579280715631988],[34.2747729621588,31.579386193162634]]]}"
