system:index,2023-10-12,2023-10-17,2023-10-25,2023-10-29,2023-11-05,2023-11-10,2023-11-17,2023-11-18,2023-11-22,2023-11-29,2023-12-04,2023-12-11,2023-12-16,2023-12-23,2023-12-24,2023-12-28,2024-01-04,2024-01-05,2024-01-09,2024-01-16,2024-01-17,2024-01-21,2024-01-28,2024-01-29,2024-02-02,2024-02-09,2024-02-10,2024-02-14,2024-02-21,2024-02-22,2024-02-26,2024-03-04,2024-03-05,2024-03-09,2024-03-16,2024-03-17,2024-03-21,2024-03-28,2024-03-29,2024-04-02,2024-04-09,2024-04-21,2024-05-04,2024-05-08,2024-05-15,2024-05-16,2024-05-27,2024-06-01,2024-07-02,2024-07-03,2024-07-27,2024-08-12,2024-09-01,2024-09-05,2024-09-12,2024-09-13,2024-09-17,2024-09-24,2024-09-25,2024-10-31,id,.geo
1_gaza_damage_20231012T154103_00000000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"{""type"":""Polygon"",""coordinates"":[[[34.222206235445135,31.588918720304733],[34.232746339521846,31.588817451284896],[34.232865158940484,31.59783969871935],[34.222324050988455,31.597941024133476],[34.222206235445135,31.588918720304733]]]}"
1_gaza_damage_20231012T154103_00000000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"{""type"":""Polygon"",""coordinates"":[[[34.222206235445135,31.588918720304733],[34.22208850456766,31.579900944123363],[34.23262760475629,31.579799730976152],[34.232746339521846,31.588817451284896],[34.222206235445135,31.588918720304733]]]}"
1_gaza_damage_20231012T154103_00000000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"{""type"":""Polygon"",""coordinates"":[[[34.22208850456766,31.579900944123363],[34.221970773535645,31.570878667405204],[34.23250886983342,31.57077743361412],[34.23262760475629,31.579799730976152],[34.22208850456766,31.579900944123363]]]}"
1_gaza_damage_20231012T154103_00000000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"{""type"":""Polygon"",""coordinates"":[[[34.221970773535645,31.570878667405204],[34.2218532119907,31.561860817978346],[34.232390219564074,31.561759665488772],[34.23250886983342,31.57077743361412],[34.221970773535645,31.570878667405204]]]}"
1_gaza_damage_20231012T154103_00000000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"{""type"":""Polygon"",""coordinates"":[[[34.2218532119907,31.561860817978346],[34.22173556547078,31.552838494536577],[34.2322716539486,31.552737372101443],[34.232390219564074,31.561759665488772],[34.2218532119907,31.561860817978346]]]}"
1_gaza_damage_20231012T154103_00000000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"{""type"":""Polygon"",""coordinates"":[[[34.22173556547078,31.552838494536577],[34.22161800361757,31.543816174169155],[34.23215308817627,31.543715030617893],[34.2322716539486,31.552737372101443],[34.22173556547078,31.552838494536577]]]}"
1_gaza_damage_20231012T154103_00000000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,"{""type"":""Polygon"",""coordinates"":[[[34.22161800361757,31.543816174169155],[34.22150061125255,31.53479828426345],[34.23203460705825,31.534697221545386],[34.23215308817627,31.543715030617893],[34.22161800361757,31.543816174169155]]]}"
1_gaza_damage_20231012T154103_00000000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,"{""type"":""Polygon"",""coordinates"":[[[34.22150061125255,31.53479828426345],[34.22138313391267,31.5257759215243],[34.231916125783606,31.525674914137806],[34.23203460705825,31.534697221545386],[34.22150061125255,31.53479828426345]]]}"
1_gaza_damage_20231012T154103_00000000000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,"{""type"":""Polygon"",""coordinates"":[[[34.22138313391267,31.5257759215243],[34.22126582606164,31.51675799135243],[34.23179781397512,31.516657038774635],[34.231916125783606,31.525674914137806],[34.22138313391267,31.5257759215243]]]}"
1_gaza_damage_20231012T154103_00000000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"{""type"":""Polygon"",""coordinates"":[[[34.22126582606164,31.51675799135243],[34.22114843323574,31.507735589129965],[34.231679417198954,31.507634691587885],[34.23179781397512,31.516657038774635],[34.22126582606164,31.51675799135243]]]}"
1_gaza_damage_20231012T154103_0000000000000000000a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,"{""type"":""Polygon"",""coordinates"":[[[34.22114843323574,31.507735589129965],[34.22103120989935,31.498717698366416],[34.23156118988961,31.498616778549984],[34.231679417198954,31.507634691587885],[34.22114843323574,31.507735589129965]]]}"
1_gaza_damage_20231012T154103_0000000000000000000b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,"{""type"":""Polygon"",""coordinates"":[[[34.22103120989935,31.498717698366416],[34.2209139864098,31.489695233858555],[34.231442962424325,31.489594368769247],[34.23156118988961,31.498616778549984],[34.22103120989935,31.498717698366416]]]}"
1_gaza_damage_20231012T154103_0000000000000000000c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,"{""type"":""Polygon"",""coordinates"":[[[34.2209139864098,31.489695233858555],[34.22079684758886,31.480677308624678],[34.23132481961493,31.48057649774029],[34.231442962424325,31.489594368769247],[34.2209139864098,31.489695233858555]]]}"
1_gaza_damage_20231012T154103_0000000000000000000d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,"{""type"":""Polygon"",""coordinates"":[[[34.22079684758886,31.480677308624678],[34.22067970861495,31.471654887233147],[34.231206676649805,31.471554053976114],[34.23132481961493,31.48057649774029],[34.22079684758886,31.480677308624678]]]}"
1_gaza_damage_20231012T154103_0000000000000000000e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,"{""type"":""Polygon"",""coordinates"":[[[34.22067970861495,31.471654887233147],[34.220562654310115,31.46263239868107],[34.23108861834102,31.462531619694776],[34.231206676649805,31.471554053976114],[34.22067970861495,31.471654887233147]]]}"
1_gaza_damage_20231012T154103_0000000000000000000f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,"{""type"":""Polygon"",""coordinates"":[[[34.220562654310115,31.46263239868107],[34.22044568467466,31.453614375755272],[34.23097064468891,31.453513650523664],[34.23108861834102,31.462531619694776],[34.220562654310115,31.46263239868107]]]}"
1_gaza_damage_20231012T154103_00000000000000000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,"{""type"":""Polygon"",""coordinates"":[[[34.22044568467466,31.453614375755272],[34.220328714886705,31.444591934684478],[34.23085258606923,31.444491212289577],[34.23097064468891,31.453513650523664],[34.22044568467466,31.453614375755272]]]}"
1_gaza_damage_20231012T154103_00000000000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,"{""type"":""Polygon"",""coordinates"":[[[34.220328714886705,31.444591934684478],[34.22021182976859,31.435573884517606],[34.230734781731265,31.435473266712574],[34.23085258606923,31.444491212289577],[34.220328714886705,31.444591934684478]]]}"
1_gaza_damage_20231012T154103_00000000000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,"{""type"":""Polygon"",""coordinates"":[[[34.22021182976859,31.435573884517606],[34.22009494449818,31.426551417014245],[34.23061689242595,31.426450776056143],[34.230734781731265,31.435473266712574],[34.22021182976859,31.435573884517606]]]}"
1_gaza_damage_20231012T154103_00000000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,"{""type"":""Polygon"",""coordinates"":[[[34.22009494449818,31.426551417014245],[34.21997822872062,31.417533316832408],[34.230499087778206,31.417432754693284],[34.23061689242595,31.426450776056143],[34.22009494449818,31.426551417014245]]]}"
