id,area_m2
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,40098.5744
31,86249.53704
32,20709.60549
33,200.0925598
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,34809.65648
72,354155.2909
73,150154.9634
74,418135.2643
75,304079.7269
76,3094.357217
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,23143.40301
113,253057.1399
114,309572.8158
115,144376.6027
116,595303.655
117,780915.9931
118,610221.7062
119,374998.2042
120,119465.313
121,207.9368849
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,44883.53571
154,296838.6651
155,144513.4823
156,82486.2851
157,44204.05661
158,105365.8225
159,674716.6946
160,728610.6578
161,831877.0413
162,743939.6107
163,578776.9428
164,207828.0707
165,76292.82185
166,1400.623764
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,44929.19865
195,355007.5326
196,200958.8226
197,71363.28221
198,149129.9054
199,40337.38612
200,247642.1351
201,694153.0325
202,688620.4477
203,570077.9007
204,700236.543
205,609397.6299
206,402967.1818
207,293389.5423
208,180887.8523
209,29613.07168
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
