system:index,2022-10-08,2022-10-15,2022-10-22,2022-10-29,2022-11-05,2022-11-12,2022-11-19,2022-11-26,2022-12-03,2022-12-10,2022-12-17,2022-12-24,2022-12-31,2023-01-07,2023-01-14,2023-01-21,2023-01-28,2023-02-04,2023-02-11,2023-02-18,2023-02-25,2023-03-04,2023-03-11,2023-03-18,2023-03-25,2023-04-01,2023-04-08,2023-04-15,2023-04-22,2023-04-29,2023-05-06,2023-05-13,2023-05-20,2023-05-27,2023-06-03,2023-06-10,2023-06-17,2023-06-24,2023-07-01,2023-07-08,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29,2024-07-06,2024-07-13,2024-07-20,2024-07-27,2024-08-03,2024-08-10,2024-08-17,2024-08-24,2024-08-31,2024-09-07,2024-09-14,2024-09-21,2024-09-28,2024-10-05,id,.geo
0_0000000000000000001d,7.011312545322698,7.735620629370629,8.548365800865804,9.26113927738928,12.436379018612522,14.335634517766499,7.25734265734266,6.81788908765653,10.291878172588834,11.92610829103215,7.417897935397937,7.5685330948121665,9.251675126903553,12.468497461928935,7.741913670229997,9.675409482758623,8.245346869712353,8.600338409475468,6.110241841491842,7.208875291375292,7.227691058941061,12.933282571912015,4.8030858676207515,8.73968253968254,7.426828231292517,10.778158085569254,6.598659673659675,8.965939685314689,9.627448979591836,15.850471356055113,9.440618877246784,9.885547785547788,9.338328962703965,18.938578680203047,11.450829103214891,10.886538461538464,9.458416583416586,10.771992590742594,13.164437998549676,8.802892940392944,12.874437021312026,7.99358843537415,11.964829586656998,14.597002997002999,8.502470643019114,9.749446839080463,10.539564902102974,10.326294416243657,9.391235827664401,8.32205012957564,8.25822472101542,11.030710659898478,2.113461538461539,2.786505911888566,3.5695942028985517,1.286336717428088,3.115319055944057,1.4303321678321685,0.9663039894493902,2.726927725404883,2.797450466200467,2.5416317016317014,2.702185314685315,3.3826889050036266,1.9466497461928935,1.7822290209790213,2.614172494172495,3.640549915397631,1.1421658206429783,1.5747086247086248,0.7844387755102041,4.69774111675127,1.8995890410958909,3.938723776223778,4.1215326340326355,2.308604651162791,2.7097884940778347,3.5496692890442896,2.1294655344655355,3.0289189976689985,3.4496954314720822,3.7066579254079266,3.0516652097902104,2.224748542274053,5.272656514382404,0.9144667832167834,1.212059645286686,1.1649672033392966,1.4264133430021755,2.330205296404276,2.596484018264841,1.070253807106599,0.7603468697123522,2.2308139534883726,3.8363010204081642,2.507858807858809,1.8291805656272664,1.110192307692308,0.8798833819241983,4.073758503401361,0.21065989847715738,2.2773604060913706,2.161536281179138,1.8744541626174278,30,"{""type"":""Polygon"",""coordinates"":[[[34.21892939153743,31.33634345896066],[34.21881309836193,31.32732528011909],[34.2293240012663,31.32722506405622],[34.229441213762996,31.3362432168752],[34.21892939153743,31.33634345896066]]]}"
0_0000000000000000001e,32.561233057454714,27.293254967814168,36.159853664387676,45.26875174923035,31.364441645675914,41.97500000000001,39.25334592779178,36.562720403022674,41.64003358522251,36.66003358522251,38.57130862420535,37.61125104953821,29.012728799328308,29.890414217744198,36.206609091999525,33.72119507416737,47.62006717044501,43.08908480268683,30.388063252169047,34.34250209907641,41.62666426772221,39.296795410019605,21.717338371116714,25.481528127623854,28.875272879932837,36.139342689216754,15.13148614609572,35.71245452001121,42.916890568150016,35.001523329734916,23.758618207988484,23.993654791891576,26.699311502938713,28.93043660789254,32.78224181360202,44.3313042261405,37.52751589300708,22.45448002878734,26.934256926952145,37.94009835672305,36.148854504018246,27.1631234256927,26.40184718723762,42.68796929351086,20.798202790772066,32.79390668106034,31.803634400863626,39.14086601895166,39.52273999440247,45.656387189636575,35.74102195034185,19.92271200671705,23.033277357962504,27.669101595298077,21.703862300587744,27.049580184718728,21.789588581024358,37.90780856423174,23.913406101315427,21.115653112630447,19.640358242373356,25.70520570948783,33.432107472712005,20.28103634400864,25.67495102155052,24.736999720123155,24.76848026868178,32.78742653232578,25.44483627204031,26.84342289392668,32.48368317940107,29.66698152812763,21.992555275678708,31.6735180520571,24.398992443324946,24.569871256647083,22.292254408060458,20.190596137699416,20.380964375674708,19.95267002518892,20.666288832913523,19.030808444284517,21.284970612930316,18.00417416336812,23.833781136300033,3.7218513853904285,5.647585062572469,3.232647635040583,9.58543840710088,17.055187717404344,10.845899804086203,5.8325496781416195,1.600482787573468,19.77986985726281,35.02905121746432,24.771044740314267,13.024733117428335,15.27000839630563,15.823257766582707,19.047942905121747,5.982787573467675,16.60208508256367,29.205721482547673,15.189132781576106,31,"{""type"":""Polygon"",""coordinates"":[[[34.21881309836193,31.32732528011909],[34.21869688985947,31.31830266321354],[34.22920678861636,31.31820242212077],[34.2293240012663,31.32722506405622],[34.21881309836193,31.32732528011909]]]}"
0_0000000000000000001f,55.70366730584852,55.233585011185696,57.719163470757444,61.68890819750721,46.77246923937361,59.336157718120816,64.79379614093962,54.77235738255035,62.570637583892626,44.027670581655485,59.644894534995224,50.57919043624161,59.80949664429531,52.17951621923938,66.54099952061362,47.78067673378077,62.15924217002239,62.91059843400447,60.196926733780764,55.82697147651008,45.65345158197508,69.32477628635345,28.976202460850118,45.907592281879204,37.01153523489934,56.77479626078619,35.35019574944072,43.115715883668926,58.01586968680091,44.99010067114095,42.57654602109301,38.77447267497604,39.75536912751679,41.94228187919464,42.367335810163006,51.94981823266219,58.41617929050816,46.768228667305856,43.98105225311602,51.250623202301064,51.90690316395015,56.33379194630872,42.603355704698,64.39712368168745,28.658563039309687,42.44292905081496,45.93065675934804,50.68153163950144,58.815701901566,64.8074904122723,51.19243967721318,34.83770973154363,49.038646532438484,37.98258628954938,37.583361297539156,39.26598154362417,33.276761744966436,40.220525727069365,42.075307606264,29.017138063279013,36.8515100671141,41.45632550335571,44.76101929530203,30.62559923298179,38.85685123042506,38.032983780760624,43.78289429530203,37.41879194630872,39.57382550335571,38.11891778523491,33.16202460850113,36.67420302013424,38.40019574944072,42.85281879194632,44.090576062639826,33.25920861297539,31.38131291946309,31.271526845637585,33.83116011505274,28.833682885906043,29.441261185682336,24.615274448705666,36.724513422818795,31.332034995206136,34.627530760626414,25.37283976510068,19.79405560882071,12.761800894854588,18.437128475551294,30.045266059443914,28.825223713646533,20.787164429530204,16.53150167785235,35.43961828859061,42.212667785234906,30.65104266538831,19.810953978907,22.629463087248325,23.08775167785235,26.903425615212534,8.131124161073826,22.26883389261745,37.39351629913711,19.191670661553218,32,"{""type"":""Polygon"",""coordinates"":[[[34.21869688985947,31.31830266321354],[34.218580766030406,31.309284451768395],[34.229089575813155,31.309184287638942],[34.22920678861636,31.31820242212077],[34.21869688985947,31.31830266321354]]]}"
0_00000000000000000020,25.208980960364034,27.07608270466611,32.546281882409296,24.26186883806331,24.84441184688461,30.258382229673103,39.37384325230512,31.99825370215144,35.918398994132446,21.23019279128249,23.29753921686026,29.81555741827326,36.06010058675608,24.438676006865446,36.65608909112683,21.05678960603521,43.819963677004765,31.296500419111485,30.790779547359605,28.588125174629788,23.455310741228597,37.33734283319364,20.017183570829843,16.593252305113165,26.106642917015932,29.63562447611065,18.04839340597933,26.642129086336972,28.338935456831525,24.891593821099274,23.63394803017603,21.882421266914147,23.562492316289468,27.02036881810562,27.348720712090373,27.10224923162895,36.61199856304635,25.055837624236624,25.662291941084902,33.04192312297929,30.443851035804105,25.933411567476956,20.57886480660999,34.0753442701473,16.459944916776433,21.946413603161297,20.594886839899416,19.689426415998092,25.133263481419398,25.43507364387499,28.579834750329308,15.650461022632022,24.710058675607716,19.20517303316969,22.493601564682876,22.168273260687346,17.332594300083827,17.662810841017045,15.404135233305398,19.871248952221293,18.967295333892153,16.891198658843255,23.699610226320207,17.26483055921447,21.51306230790724,22.751047778709143,23.48073484213468,17.843839061190284,16.2692930986309,20.10135512713049,19.355127130483375,21.199748533109812,20.16761665269629,15.379178541492038,23.864822576138593,22.244649343392016,17.81636630343672,16.681894383906123,19.79657526044786,20.128331936295062,18.71765856384465,15.858711531553109,21.67793797150042,17.275775356244765,18.8361693210394,23.516345347862533,19.675236498622922,14.411399832355409,21.643587594300087,16.379762902646394,24.31514389494272,24.2752444816988,25.633046940486178,19.964228834870077,25.41163732886282,22.605328703149326,14.753466650700524,14.89450125733445,14.856879415638849,14.234590667784301,15.086839899413246,9.914585079631184,20.326427972697886,16.06199257573943,33,"{""type"":""Polygon"",""coordinates"":[[[34.218580766030406,31.309284451768395],[34.218464642051046,31.30026175179449],[34.22897244767077,31.300161639224825],[34.229089575813155,31.309184287638942],[34.218580766030406,31.309284451768395]]]}"
0_00000000000000000046,5.218047153714908,3.195390578413835,3.8611879342484334,3.1274686379928314,6.535309446254073,4.8042345276872975,2.75021533161068,3.8725031094527376,4.046362649294246,4.499077090119436,2.4624279123414077,3.3232989064398546,3.767671009771987,2.9026058631921825,1.9722122672598452,3.206948130277443,4.895593869731801,3.892725298588491,2.693216192170819,2.624366543665437,3.7262680054228103,3.1702900573910346,1.5452004860267317,2.648331415420024,2.9264976275207606,3.642950209399721,2.0965599876314163,3.3097047970479707,2.3123754448398577,5.329695982627579,5.82202342917998,3.7550329074719317,5.458478513356564,4.405747126436783,4.874245385450598,3.8252533460803066,4.99264580425004,4.542032520325205,5.8973320924461,6.667280570764894,6.47557384341637,3.277378892733564,6.613165038002172,4.325122242098987,3.719979091995221,4.572528161802356,5.642907981698018,6.376640297812936,2.7753431372549024,4.590402043170209,4.668794788273615,5.883061889250815,0.8023035230352304,0.8703892733564015,1.105037313432836,0.5124321389793702,0.8782749077490777,0.8632404181184672,0.9052101967799643,0.7956801613153405,1.0476364175563468,0.5650234741784039,0.7635667903525047,1.8972778036295952,0.9699457111834965,0.9873962040332149,0.860879469434833,1.112269272529859,0.8369706840390881,0.9705441874258603,0.7490953947368423,0.8351791530944627,0.5447882736156352,0.8025406504065044,0.7717452550415186,0.9319496855345913,0.5657437567861021,0.9398260869565219,0.941421104026653,0.778011695906433,1.2943539630836047,2.3106386651323363,2.2077961672473876,1.6856939501779364,1.7184039087947884,1.2167071688942892,1.6429930795847751,1.346567307692308,2.505484721575927,1.1742669172932334,2.504607297464441,3.045512820512821,2.0694896851248648,1.277328276443321,1.4672562168203411,1.275782070835452,1.4702280130293162,1.3500880503144657,1.1634415002560163,1.725702671312428,1.5928338762214984,2.7037459283387624,1.8232871972318339,2.1138993390950693,71,"{""type"":""Polygon"",""coordinates"":[[[34.229558595733444,31.345265823808592],[34.229441213762996,31.3362432168752],[34.23994781774613,31.336142133156102],[34.24006620359683,31.345164687808058],[34.229558595733444,31.345265823808592]]]}"
0_00000000000000000047,9.446562680531484,9.475107752588862,10.799928031666068,10.280221102714808,12.068778162911613,13.777707972270367,12.301952141057937,10.624679595278247,11.08467359907568,11.235255632582321,10.496218064051819,9.265581787521079,11.068600519930678,12.431429809358752,9.707428731358204,10.393949062412542,11.390063547082613,12.039832466782206,11.365351245452004,14.754391267842154,10.412288593019072,10.523248328794255,10.144983136593593,10.906549118387911,8.982339770500982,14.581678633325085,12.875937587461522,15.888902882731605,18.040702490904003,17.68709664108278,14.191000247586038,15.250119547399146,15.970565351245451,17.252339688041594,14.99993067590988,17.52446599213041,19.64078205589541,18.889507016912564,19.465127506808617,11.96642477309984,18.26458658190397,16.296518331933953,14.151759924073616,21.00007756587102,12.056328015673106,12.78078165607133,14.743339935627631,15.70248823966328,17.251119507416742,16.534808684178962,19.244719402492365,12.989038128249568,2.1539322698012873,2.511498140818041,2.759794828555368,0.9777657423454652,1.8166666666666675,1.2699972012314582,0.9843408900083964,1.9043925889246516,1.6498376714245737,0.8136635880212707,1.9119311502938712,3.152200627217958,1.3259329867128828,1.2943184998600616,1.6131654072208232,1.0448945696129406,1.088258232235702,1.4777477909719725,0.8662468513853906,1.3482596764875796,1.2794771808203351,1.4135320458998044,1.58536383991044,1.428247611017426,2.2719165222414786,2.595490365257406,3.3965135340450208,2.8719143576826207,3.9672227036395147,3.65761265043381,4.736339210747272,3.4226472352165054,4.3009965337954945,1.0214385670305068,1.0709251929151176,1.120913434513772,0.623216967896344,1.1233237375554759,0.97380550871276,0.7403738055087127,0.19516897746967074,1.139551714446318,1.1994934228939271,1.037764983407301,0.3648877609969465,0.881193086003373,0.8542773179800889,0.852350965575147,0.10563258232235702,0.8510615251299827,1.1987157650633722,1.821902362960298,72,"{""type"":""Polygon"",""coordinates"":[[[34.229441213762996,31.3362432168752],[34.2293240012663,31.32722506405622],[34.23982960134653,31.327124032094915],[34.23994781774613,31.336142133156102],[34.229441213762996,31.3362432168752]]]}"
0_00000000000000000048,23.559565791051938,27.141127903722364,26.298836511934745,29.98357122865939,25.561265043380914,25.137027707808564,25.3487825356843,26.792835152532884,24.2976322418136,32.78887489504618,33.100572548078844,26.025096557514694,26.351637279596975,27.677304785894204,30.94728319539403,28.19771060733277,25.396389588581027,30.884102994682333,30.26926952141057,28.00505177721803,31.366202870736878,38.53944024629163,25.019647355163727,30.554911838790932,19.978925272879927,31.235972172244214,22.821984326896168,27.890013993842704,35.287755387629446,35.39972412138659,30.371032745591943,32.098714165767056,30.601049538203192,21.069311502938707,24.377301987125662,26.583389308704174,28.72768381911958,29.34926232457718,33.82019911239055,29.68635000599736,34.28754947822958,29.11106633081444,32.21337411538922,28.550245891807602,21.4753228579425,22.700095957778576,30.30582943504858,27.19791291831594,33.45383431290233,36.220630922394136,30.098584622765983,23.56721242653233,4.155275678701372,5.473083843109032,6.826224461237055,3.550902602854744,4.682724601175482,4.175314861460957,4.247040302267003,5.494842269401464,5.166498740554156,3.6788413098236776,5.753702770780856,7.241825596737436,3.874578785334452,3.569815281276238,4.63521410579345,4.050580744472431,4.669885250489784,4.908046459557795,3.193073047858943,4.494948222781977,4.008900083963057,4.784722921914357,4.0664763504058214,5.139571788413099,4.313014273719563,4.361880772460117,4.131366198872497,4.030268681780017,4.867422334172963,5.058306745032187,5.262434928631402,3.735444404462037,4.497453120626924,1.168765743073048,1.5586781816000959,1.3679541001959137,1.1181120307064891,3.2316060933189394,1.9879652952700813,1.9624685138539046,0.1756507136859782,3.20671704450042,3.6848446683459284,3.150917596257647,2.435596337611451,2.941763224181361,1.6060453400503778,2.654911838790932,1.2167926112510496,2.6751049538203193,4.007216824597179,3.2782175842629244,73,"{""type"":""Polygon"",""coordinates"":[[[34.2293240012663,31.32722506405622],[34.22920678861636,31.31820242212077],[34.239711299987,31.318101390882763],[34.23982960134653,31.327124032094915],[34.2293240012663,31.32722506405622]]]}"
0_00000000000000000049,60.027647834952624,58.88043660789255,55.586338011275046,62.389724521210674,53.36141897565072,71.41574307304786,64.00232997481109,63.314021830394644,81.64416456759027,66.8011698852505,73.92386969733319,70.04877693814723,68.88038623005878,64.8813574027428,73.91031546119709,65.04790092359362,69.0698852504898,71.88934368877695,78.48205709487827,67.63652392947105,63.65762264603576,84.32651553316545,58.082640638119244,59.22342569269522,43.98139518611812,64.39467434328895,45.66775118947663,62.314693534844665,73.93011474951022,63.25616328815323,55.89784094998201,58.9678589420655,55.34202350965576,60.16150293870698,51.32781576106513,58.42080884410859,64.53895885810245,63.85277677821759,61.71620486985727,62.57458318339932,66.44424853064653,65.55068010075567,51.57139258726161,62.19330694494423,38.344644356483165,45.80973971452562,57.09701331414178,51.744848266762624,58.28414497621049,66.14018231977931,60.37003118627805,47.486607892527296,16.604617968094043,13.894038623005882,18.807101875174926,14.996830394626366,15.305478589420657,14.032773579624969,16.317744192555278,14.54182559673744,15.898522650033984,12.180671704450045,14.378522250209912,14.416569509415861,13.393588021270643,17.215351245452002,12.958178001679263,17.466918555835434,11.920794850265883,12.96264843468874,13.909837671424578,13.640869017632246,11.242597257206832,12.461586901763225,13.229459837671426,12.598452280996364,13.542870137139662,15.102367758186398,11.30423413697973,15.94534844668346,13.590400223901485,12.99825436807805,14.462115869017632,11.874859062012714,12.131192275398828,8.654869857262804,9.651985126544323,4.40356842989085,7.716900563751951,11.057022909919635,12.914357682619649,5.2454799888049255,9.322921914357684,11.870948782535685,19.71617688217185,14.000371836391993,7.488497061293033,11.612594458438291,11.801259445843831,10.622837951301433,2.085978169605374,8.652644836272044,17.473695573947467,10.098020870816843,74,"{""type"":""Polygon"",""coordinates"":[[[34.22920678861636,31.31820242212077],[34.229089575813155,31.309184287638942],[34.23959316807925,31.309083282233043],[34.239711299987,31.318101390882763],[34.22920678861636,31.31820242212077]]]}"
0_0000000000000000004a,62.67756986925755,60.16381192275401,62.12006717044501,69.31177881732039,54.15090680100757,81.50484886649875,73.68837111670867,71.82195633921077,80.32630142737199,60.51961237055697,66.69710087561474,56.70702910719286,70.34162888329138,66.47893766742635,70.07308384310906,66.85655751469356,80.02619647355164,76.95293870696896,69.28401623285754,66.54009515813043,59.99451841189878,77.66890008396308,49.387489504617974,53.04353484466836,47.38636999720124,61.6248170804846,39.25961376994123,59.043797928911296,71.02029107192838,57.05419815281277,49.77385150533765,48.13507776578307,41.466339210747286,49.937237615449206,45.91685138539043,55.84853064651555,63.21436967734198,53.16550317860143,55.396365599136395,53.83103034664748,56.463967854144194,59.379748110831265,42.941177881732045,67.3252009115989,34.26455759465835,36.69582583663188,50.908840110351456,48.129123185798264,52.45440806045341,62.71730838431091,57.00470792851147,47.297187237615454,36.5803806325217,31.5967494302507,29.22104673943466,32.78087741393787,25.473568429890854,35.77579065211307,36.44594178561434,24.63605613530048,29.602898724561197,25.6351637279597,26.469013434089007,27.317462316580713,28.796479149174367,29.38095438007278,25.923341729638967,30.610194514413664,37.93504058214386,26.73318819719324,28.904855863420103,26.481066330814443,23.671424573187803,30.900806045340047,29.558284354883853,26.47135460397426,25.612699412258614,25.532409739714524,24.06791411778818,26.270635320459004,27.685096557514697,22.900223901483347,29.269168765743082,22.776646275638726,29.02167646235657,27.477057094878266,26.96135300467795,16.47227819759306,22.94067410339451,25.00057574667147,25.43171004757907,25.554492023509656,25.408228379513016,32.981528127623854,33.253820319059614,24.727947703010678,20.294194554396068,28.102099076406382,19.755727479908845,27.36540722082284,21.139546599496224,18.2431570109152,31.738515053376524,21.45668705769462,75,"{""type"":""Polygon"",""coordinates"":[[[34.229089575813155,31.309184287638942],[34.22897244767077,31.300161639224825],[34.23947503601569,31.300060685493566],[34.23959316807925,31.309083282233043],[34.229089575813155,31.309184287638942]]]}"
0_0000000000000000004b,39.30733461169703,38.371085011185684,47.005644774688406,48.20366730584853,35.60309284116332,50.371036073825515,47.81055788590604,48.41605145413871,50.95201761744968,38.3096350671141,47.59847235538511,44.30205956375839,39.88870805369129,38.2709451901566,51.96028283796742,35.14211689038031,50.512038590604035,50.403355704697994,42.77423378076063,41.788523489932906,40.830363135186964,45.92034116331097,25.873266219239376,39.66979865771811,26.4493148769575,44.328032118887826,25.295329977628636,40.19689457494408,40.8621644295302,38.51282358581017,34.280608820709496,30.03363534675616,33.76933724832216,38.92797818791947,29.991825663151175,36.054320469798675,43.92327420901247,41.548190316395015,41.14407957813999,46.15442233940557,37.524101150527336,42.926426174496655,27.791047459252162,43.25692713326942,23.396558405241294,29.17263902205178,38.604650047938655,39.3405560882071,35.940450223713654,41.86788111217643,42.31680049536594,35.47122483221477,34.429725950783,29.029122722914668,30.416694630872488,26.499077181208055,24.44320050335571,25.261339485458617,22.99927992170023,25.176821668264626,23.24479865771813,22.404580536912754,32.05691275167786,25.11235618408438,26.05769015659956,24.656166107382553,33.159647651006715,24.126366051454145,28.136605145413878,29.653513902205177,21.661381431767346,25.167051174496645,23.765827740492174,26.16056627516779,22.11018176733781,21.330676733780766,22.90543204697987,23.60479026845638,21.73890220517737,25.142441275167794,25.790411073825506,20.601076621923937,26.561493288590608,21.269199424736343,30.10262024608501,20.686073825503364,22.60214525407479,18.31463926174497,29.82271093000959,24.258880632790028,25.695106263982108,19.145609619686805,22.540604026845642,29.286283557046985,33.15630592841163,26.335294822627045,18.07538350910835,22.85307046979866,17.73029721955897,20.84724552572707,19.88355704697987,17.041526845637584,26.772507190795782,19.005656759348042,76,"{""type"":""Polygon"",""coordinates"":[[[34.22897244767077,31.300161639224825],[34.228855489003685,31.291143372212055],[34.23935698860057,31.291042495255205],[34.23947503601569,31.300060685493566],[34.22897244767077,31.300161639224825]]]}"
