2024-09-07,2024-08-07,2024-05-07,2024-04-07,2024-06-07,2024-07-07,2024-02-07,2024-10-07,2024-03-07,2024-01-07,id,2023-12-07,2023-11-07,2023-10-07,OBJECTID,GLOBALID,Governorat,Loc_ID,Locality_N,SHAPE_Leng,SHAPE_Area
5201.982009887694403,14205.399566650390625,14801.727020712456579,1500.569618225097656,2200.841064453125000,1800.688163757324219,9802.166534603344189,3801.443504333496094,14905.686561584472656,115310.417363873624709,"607",23804.326873958809301,8903.380935668945312,17297.180038811173290,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
7395.750099451403003,4001.514709472656250,1600.606964111327898,0.000000000000000,1200.456314086914062,1200.456329345703125,11104.223403930664062,2901.101623535156250,8603.269035339355469,110316.090509033179842,"608",24507.746406734688208,37592.348771398203098,13402.371830300720831,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
5909.272979467055848,5409.085593907973816,4801.805885314940497,2712.780395059024158,209.489669440774350,1600.597229003906250,27510.295394897460938,2300.865379333496094,8002.995819091796875,193961.157286759931594,"648",180379.593862705572974,91432.560910602682270,80929.061206862505060,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
2901.090164184570312,0.000000000000000,1900.712478637695312,100.037666320800781,0.000000000000000,900.339210510253906,5100.725833937701282,0.000000000000000,1900.315026616115119,226011.205555216496577,"649",124048.697418123134412,27409.886781071683799,9812.307565995757614,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
1607.654990880629612,299.326571176566290,3201.202789306640170,7002.625144958496094,800.301338195800781,0.000000000000000,6102.276504516601562,2000.751907348632812,0.000000000000000,308714.865990971680731,"650",64420.889933387923520,43732.781569806269545,40714.770982121488487,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
0.000000000000000,1400.509796142578125,400.147735595703125,2600.959899902343750,0.000000000000000,0.000000000000000,22409.400997116990766,3801.394165039062500,4101.907911921482082,51328.318048155539145,"691",43324.157824707028340,1100.799193049412224,9104.123784353218070,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
400.147308349609318,2601.746648122750685,0.000000000000000,900.331901550292969,0.000000000000000,0.000000000000000,3701.364097595214844,0.000000000000000,4101.512870788574219,149580.340661232243292,"692",18409.935445030059782,4101.515678405761719,0.392302180271523,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7502.760055541992188,1400.510894775390625,100.036865234375014,20307.452491760253906,"693",9003.306762695312500,0.000000000000000,0.000000000000000,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
1400.505722045898438,200.072685241699219,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2801.009368896484375,0.000000000000000,3801.368583679199219,23900.779953900506371,"733",50912.470577913176385,23902.302303239412140,61913.641552345427044,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4301.557197570800781,900.326332092285156,900.325393676757812,8597.235073762782122,"734",100.036369323730469,4901.778182983398438,3701.341972351074219,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"735",0.000000000000000,0.000000000000000,0.000000000000000,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"776",0.000000000000000,0.000000000000000,0.000000000000000,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"777",0.000000000000000,0.000000000000000,0.000000000000000,"57",{6831AC7E-361E-4C50-A557-3CBC0555FD7A},"2465","24653215",Al Maghazi,0.13701247866,0.00029525869
2901.090164184570312,0.000000000000000,1900.712478637695312,100.037666320800781,0.000000000000000,900.339210510253906,5100.725833937701282,0.000000000000000,1900.315026616115119,226011.205555216496577,"649",124048.697418123134412,27409.886781071683799,9812.307565995757614,"87",{64C95E4D-5B6E-416F-951D-F3D8DDF802A2},"2465","24653210",Al Maghazi Camp,0.03865295045,0.00005256173
1607.654990880629612,299.326571176566290,3201.202789306640170,7002.625144958496094,800.301338195800781,0.000000000000000,6102.276504516601562,2000.751907348632812,0.000000000000000,308714.865990971680731,"650",64420.889933387923520,43732.781569806269545,40714.770982121488487,"87",{64C95E4D-5B6E-416F-951D-F3D8DDF802A2},"2465","24653210",Al Maghazi Camp,0.03865295045,0.00005256173
