"","system.index","X2023.10.12","X2023.10.17","X2023.10.25","X2023.10.29","X2023.11.05","X2023.11.10","X2023.11.17","X2023.11.18","X2023.11.22","X2023.11.29","X2023.12.04","X2023.12.11","X2023.12.16","X2023.12.23","X2023.12.24","X2023.12.28","X2024.01.04","X2024.01.05","X2024.01.09","X2024.01.16","X2024.01.17","X2024.01.21","X2024.01.28","X2024.01.29","X2024.02.02","X2024.02.09","X2024.02.10","X2024.02.14","X2024.02.21","X2024.02.22","X2024.02.26","X2024.03.04","X2024.03.05","X2024.03.09","X2024.03.16","X2024.03.17","X2024.03.21","X2024.03.28","X2024.03.29","X2024.04.02","X2024.04.09","X2024.04.21","X2024.05.04","X2024.05.08","X2024.05.16","X2024.05.20","X2024.05.27","X2024.06.01","X2024.07.03","X2024.07.27","id",".geo","X2024.08.03","X2024.08.10","X2024.08.17","X2024.08.24","X2024.08.31","X2024.09.07","X2024.09.14","X2024.09.21","X2024.09.28","X2024.10.05"
"11","1_gaza_dpm_20231012T154103_asc_0000000000000000000a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"{""type"":""Polygon"",""coordinates"":[[[34.22114843323574,31.507735589129965],[34.22103120989935,31.498717698366416],[34.23156118988961,31.498616778549984],[34.231679417198954,31.507634691587885],[34.22114843323574,31.507735589129965]]]}",0,0,0,0,0,0,0,0,0,0
"12","1_gaza_dpm_20231012T154103_asc_0000000000000000000b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"{""type"":""Polygon"",""coordinates"":[[[34.22103120989935,31.498717698366416],[34.2209139864098,31.489695233858555],[34.231442962424325,31.489594368769247],[34.23156118988961,31.498616778549984],[34.22103120989935,31.498717698366416]]]}",0,0,0,0,0,0,0,0,0,0
"13","1_gaza_dpm_20231012T154103_asc_0000000000000000000c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"{""type"":""Polygon"",""coordinates"":[[[34.2209139864098,31.489695233858555],[34.22079684758886,31.480677308624678],[34.23132481961493,31.48057649774029],[34.231442962424325,31.489594368769247],[34.2209139864098,31.489695233858555]]]}",0,0,0,0,0,0,0,0,0,0
"14","1_gaza_dpm_20231012T154103_asc_0000000000000000000d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"{""type"":""Polygon"",""coordinates"":[[[34.22079684758886,31.480677308624678],[34.22067970861495,31.471654887233147],[34.231206676649805,31.471554053976114],[34.23132481961493,31.48057649774029],[34.22079684758886,31.480677308624678]]]}",0,0,0,0,0,0,0,0,0,0
"15","1_gaza_dpm_20231012T154103_asc_0000000000000000000e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"{""type"":""Polygon"",""coordinates"":[[[34.22067970861495,31.471654887233147],[34.220562654310115,31.46263239868107],[34.23108861834102,31.462531619694776],[34.231206676649805,31.471554053976114],[34.22067970861495,31.471654887233147]]]}",0,0,0,0,0,0,0,0,0,0
"16","1_gaza_dpm_20231012T154103_asc_0000000000000000000f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"{""type"":""Polygon"",""coordinates"":[[[34.220562654310115,31.46263239868107],[34.22044568467466,31.453614375755272],[34.23097064468891,31.453513650523664],[34.23108861834102,31.462531619694776],[34.220562654310115,31.46263239868107]]]}",0,0,0,0,0,0,0,0,0,0
"17","1_gaza_dpm_20231012T154103_asc_00000000000000000010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"{""type"":""Polygon"",""coordinates"":[[[34.22044568467466,31.453614375755272],[34.220328714886705,31.444591934684478],[34.23085258606923,31.444491212289577],[34.23097064468891,31.453513650523664],[34.22044568467466,31.453614375755272]]]}",0,0,0,0,0,0,0,0,0,0
"18","1_gaza_dpm_20231012T154103_asc_00000000000000000011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"{""type"":""Polygon"",""coordinates"":[[[34.220328714886705,31.444591934684478],[34.22021182976859,31.435573884517606],[34.230734781731265,31.435473266712574],[34.23085258606923,31.444491212289577],[34.220328714886705,31.444591934684478]]]}",0,0,0,0,0,0,0,0,0,0
"19","1_gaza_dpm_20231012T154103_asc_00000000000000000012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"{""type"":""Polygon"",""coordinates"":[[[34.22021182976859,31.435573884517606],[34.22009494449818,31.426551417014245],[34.23061689242595,31.426450776056143],[34.230734781731265,31.435473266712574],[34.22021182976859,31.435573884517606]]]}",0,0,0,0,0,0,0,0,0,0
"20","1_gaza_dpm_20231012T154103_asc_00000000000000000013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"{""type"":""Polygon"",""coordinates"":[[[34.22009494449818,31.426551417014245],[34.21997822872062,31.417533316832408],[34.230499087778206,31.417432754693284],[34.23061689242595,31.426450776056143],[34.22009494449818,31.426551417014245]]]}",0,0,0,0,0,0,0,0,0,0
"21","1_gaza_dpm_20231012T154103_asc_00000000000000000014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"{""type"":""Polygon"",""coordinates"":[[[34.21997822872062,31.417533316832408],[34.219861427968546,31.408510825790845],[34.23038136778837,31.408410214515943],[34.230499087778206,31.417432754693284],[34.21997822872062,31.417533316832408]]]}",0,0,0,0,0,0,0,0,0,0
"22","1_gaza_dpm_20231012T154103_asc_00000000000000000015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"{""type"":""Polygon"",""coordinates"":[[[34.219861427968546,31.408510825790845],[34.21974471188718,31.399488272652672],[34.23026364764394,31.399387714593427],[34.23038136778837,31.408410214515943],[34.219861427968546,31.408510825790845]]]}",0,0,0,0,0,0,0,0,0,0
"23","1_gaza_dpm_20231012T154103_asc_00000000000000000016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"{""type"":""Polygon"",""coordinates"":[[[34.21974471188718,31.399488272652672],[34.219628165299795,31.39047016681907],[34.23014601215786,31.39036968710908],[34.23026364764394,31.399387714593427],[34.21974471188718,31.399488272652672]]]}",0,0,0,0,0,0,0,0,0,0
"24","1_gaza_dpm_20231012T154103_asc_00000000000000000017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"{""type"":""Polygon"",""coordinates"":[[[34.219628165299795,31.39047016681907],[34.219511533737986,31.381447594481752],[34.23002837651741,31.381347167686478],[34.23014601215786,31.39036968710908],[34.219628165299795,31.39047016681907]]]}",0,0,0,0,0,0,0,0,0,0
"25","1_gaza_dpm_20231012T154103_asc_00000000000000000018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"{""type"":""Polygon"",""coordinates"":[[[34.219511533737986,31.381447594481752],[34.21939498684768,31.37242949718745],[34.22991091034893,31.37232909714186],[34.23002837651741,31.381347167686478],[34.219511533737986,31.381447594481752]]]}",0,0,0,0,0,0,0,0,0,0
"26","1_gaza_dpm_20231012T154103_asc_00000000000000000019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"{""type"":""Polygon"",""coordinates"":[[[34.21939498684768,31.37242949718745],[34.21927852462922,31.36340688290035],[34.22979335921324,31.36330648425099],[34.22991091034893,31.37232909714186],[34.21939498684768,31.37242949718745]]]}",0,0,0,0,0,0,0,0,0,0
