2023-12-23,2023-11-10,2024-07-02,2024-09-24,2024-08-12,2024-09-25,2024-07-03,2024-01-21,2024-05-16,2024-02-26,2024-01-17,2024-01-16,2024-04-09,2023-12-16,id,2023-11-05,2023-11-22,2024-09-17,2024-09-12,2024-04-02,2024-02-21,2024-09-13,2024-05-15,2024-02-22,2024-02-14,2024-05-08,2024-03-28,2024-01-04,2024-01-05,2024-03-29,2024-01-09,2023-12-24,2023-11-17,2023-12-28,2023-11-18,2024-10-31,2024-09-05,2024-09-01,2024-02-10,2024-07-27,2024-05-04,2024-03-21,2024-03-16,2024-03-17,2024-02-02,2024-02-09,2023-10-12,2023-10-17,2023-11-29,2023-12-11,2024-06-01,2024-04-21,2024-03-05,2024-05-27,2024-03-04,2024-03-09,2024-01-28,2024-01-29,2023-12-04,2023-10-25,2023-10-29,name
318174.061436462448910,137154.674736022949219,498706.070815322455019,503608.024298904056195,503407.944411513861269,503608.024298904056195,498706.070815322455019,448566.041532180272043,496405.152724502142519,486501.202620742376894,434055.558570233872160,425350.910007252707146,495504.793959853705019,285250.311064058274496,"491",130451.994949340820312,183882.743244754587067,503608.024298904056195,503608.024298904056195,495504.793959853705019,480198.686400649603456,503608.024298904056195,496405.152724502142519,481899.363456008548383,480198.686400649603456,496405.152724502142519,495004.592795608099550,355603.122375219245441,364706.753677099128254,495504.793959853705019,377019.901000976853538,325577.018315124558285,158963.365684509277344,333080.000584411667660,169572.306379609944997,503612.732075501000509,503608.024298904056195,503608.024298904056195,475090.767118746181950,503407.944411513861269,496405.152724502142519,495004.592795608099550,492603.631163833197206,495004.592795608099550,466675.633411811781116,470585.426021710969508,3601.431846618652344,22508.985153198242188,186389.619032377406256,243526.556603644974530,497705.671233413275331,495504.793959853705019,491603.231826064642519,497705.671233413275331,488602.038375136908144,491603.231826064642519,457869.755902907869313,459670.471242568455637,195297.894955444411607,95938.237785339370021,113445.237174987807521,Absan
81237.138235383870779,30114.381285813273280,231756.041548605775461,264576.183139756496530,246666.693738152272999,267077.175533250148874,231760.749295403249562,120665.790830275582266,224653.210791464662179,183818.086393737845356,119165.190786025093985,107356.965296666749055,218547.248546735179843,77435.625028901951737,"492",24609.835739135742188,55526.865637117269216,263975.941684678371530,259374.107036546018207,217642.179312313499395,168802.675576961715706,260474.547672227170551,224153.011824484681711,181707.834657467115903,157093.291644556389656,219851.300787802523701,214939.925768863642588,87244.245297061686870,99048.945332156901713,214941.102705563011114,105556.246218602784211,82937.819372468831716,42219.217581894816249,84843.283932315593120,46423.246938997152029,267077.175533250148874,255670.274708916462259,251268.525006462819874,150090.494555933342781,235962.427159477956593,218547.248546735179843,212535.441421778232325,205832.761505396338180,211535.044197351962794,140283.054436448030174,147485.924179795198143,0.000000000000000,5001.995742797851562,57727.743627839925466,73634.106626802327810,226754.050909872894408,218547.248546735179843,199626.755322983779479,226754.050909872894408,194622.402563476643991,203131.680420191260055,125277.055168869890622,129878.889611008562497,63129.908773713956180,20808.313133239746094,24609.835739135742188,Absan
209438.817363155714702,110887.787613094624248,321310.413213034451474,325813.392464312608354,322011.870056780870073,325813.392464312608354,321310.413213034451474,261168.813354492303915,321310.413213034451474,306702.231817357882392,256366.898254394647665,247063.186698913690634,318209.174863119900692,203536.457087887160014,"493",102976.406836655631196,166618.222122820792720,325713.352486285264604,324412.830780657823198,318209.174863119900692,301700.237608068273403,324712.950112017686479,321310.413213034451474,305501.754415624483954,299399.318853490636684,321310.413213034451474,318209.174863119900692,226745.704234493605327,227045.824763668410014,318209.174863119900692,235449.158130062452983,213040.250750912062358,145106.130873197776964,219242.717616451613139,162616.623802813468501,325813.392464312608354,323312.388207110459916,322011.870056780870073,297998.762937658117153,322010.693112631619442,319809.815305014431942,312907.061734457791317,312907.061734457791317,312907.061734457791317,287994.780042760656215,291996.373129003331997,13111.116479581947715,27721.625228881828662,169419.340279253898188,196433.636058224074077,321310.413213034451474,318809.413678427517880,310406.061726828396786,321310.413213034451474,307905.063061972439755,312907.061734457791317,276977.455695298267528,279178.331458237720653,173420.928375872550532,59955.692532528140873,74461.501301754236920,Absan
50622.496405747348035,37117.101157334269374,63640.656087089977518,63840.735943962536112,63640.656087089977518,63840.735943962536112,63640.656087089977518,53030.522396312037017,63640.656087089977518,62540.219861198864237,53030.522396312037017,53030.522396312037017,63640.656087089977518,50622.496405747348035,"494",37117.101157334269374,41618.900481369913905,63840.735943962536112,63840.735943962536112,63640.656087089977518,61238.520150936339633,63840.735943962536112,63640.656087089977518,62539.042917049620883,61238.520150936339633,63640.656087089977518,63640.656087089977518,52623.300353196085780,52625.654241494572489,63640.656087089977518,53030.522396312037017,52623.300353196085780,39818.179099228800624,52623.300353196085780,41018.661902573527186,63840.735943962536112,63840.735943962536112,63640.656087089977518,58237.314584530096909,63640.656087089977518,63640.656087089977518,63640.656087089977518,63640.656087089977518,63640.656087089977518,55731.601284251490142,55731.601284251490142,0.000000000000000,22208.829803466796875,44319.973738816202967,49321.975615647257655,63640.656087089977518,63640.656087089977518,63640.656087089977518,63640.656087089977518,62540.219861198864237,63640.656087089977518,53030.522396312037017,55731.601284251490142,48721.737540390909999,25410.102775573730469,25410.102775573730469,Absan
93652.501600736723049,87234.658355712890625,94953.018629545316799,95153.098173612699611,94953.018629545316799,95153.098173612699611,94953.018629545316799,93752.541342252836330,94953.018629545316799,93852.581266874418361,93752.541342252836330,93752.541342252836330,94953.018629545316799,93652.501600736723049,"495",85734.063079833969823,91451.623419279188965,95153.098173612699611,95153.098173612699611,94953.018629545316799,93852.581266874418361,95153.098173612699611,94953.018629545316799,93852.581266874418361,93852.581266874418361,94953.018629545316799,93852.581266874418361,93652.501600736723049,93752.541342252836330,94953.018629545316799,93752.541342252836330,93652.501600736723049,89951.028547758207424,93652.501600736723049,91451.623419279188965,95153.098173612699611,95153.098173612699611,94953.018629545316799,93752.541342252836330,94953.018629545316799,94953.018629545316799,93852.581266874418361,93852.581266874418361,93852.581266874418361,93752.541342252836330,93752.541342252836330,1600.636535644531250,72128.663444519042969,91451.623419279188965,92852.182127470121486,94953.018629545316799,94953.018629545316799,93852.581266874418361,94953.018629545316799,93852.581266874418361,93852.581266874418361,93752.541342252836330,93752.541342252836330,92852.182127470121486,82132.635879516601562,84133.428558349609375,Absan
261711.171973822958535,105704.265791051526321,341399.436585010960698,342197.787238715449348,341399.436585010960698,342197.787238715449348,341399.436585010960698,327393.930840076936875,341399.436585010960698,338498.294296802952886,323297.026572103844956,316695.599443861807231,340098.923019947484136,256909.278243659413420,"533",95800.374578588132863,151501.077228411508258,342197.787238715449348,342097.748000739316922,339098.529984058812261,338498.294296802952886,342097.748000739375129,341399.436585010960698,338498.294296802952886,338498.294296802952886,341399.436585010960698,339098.529984058812261,276202.777859407186043,291901.119881573715247,339098.529984058812261,296899.567266666039359,266713.145621894276701,133209.178546232316876,269614.292213080800138,142808.247601497860160,342197.787238715449348,342097.748000739375129,341399.436585010960698,337397.865028919652104,341399.436585010960698,341399.436585010960698,339098.529984058812261,339098.529984058812261,339098.529984058812261,337097.746811451390386,337297.825783314183354,2593.168018565458624,8581.788480422077555,159798.467370964470319,236906.101377419778146,341399.436585010960698,340098.923019947484136,338498.294296802952886,341399.436585010960698,338498.294296802952886,339098.529984058812261,333596.372475208714604,336097.352509083226323,175390.087622608814854,68995.742218915154808,91698.763425939221634,Absan
141050.757455534097971,80429.305291029988439,342844.583881961414590,367748.110233261773828,348640.596836044976953,368148.268520310113672,348342.049093537963927,194358.771242478280328,342744.544445621082559,302555.411051133007277,188256.367899277596734,184958.595929224306019,333150.577690842445008,140950.718393034097971,"534",75329.656745910644531,112139.440499967691721,364646.897937729547266,359444.849445297906641,332850.459557297523133,254066.157025864493335,363246.350658371637110,340443.639149295457173,265167.369606825814117,237972.392898200516356,337448.740087531448808,328449.909694985661190,167656.495639217580901,180661.604663265432464,332850.459557297523133,184358.360249597841175,164159.817361539957346,93134.312233779026428,167656.495639217580901,109538.417306608316721,368648.466411545465235,357243.983165695855860,352842.255817368219141,225967.678321479324950,348640.596836044976953,335951.676789048011415,325252.177863177028485,320450.289824541774578,322351.035368975368328,216267.390085556893609,220268.961428025155328,0.000000000000000,17006.692443847656250,113539.988267606851878,118842.063714689371409,342844.583881961414590,333150.577690842445008,314551.496980465075467,342744.544445621082559,310652.319352093792986,316448.713934954372235,196559.640352585702203,206763.645082810311578,114940.536073392984690,62224.500602722167969,67526.584785461425781,Absan
387216.489407168992329,234064.538045546505600,560124.460411610081792,562225.288002552464604,560624.655449451878667,562425.365997852757573,560124.460411610081792,442605.285618501424324,555422.602936329320073,513214.251184979395475,434710.042572470149025,424606.079956503352150,547919.661308826878667,381114.088017093308736,"535",223370.527885077928659,297284.642897931160405,560624.655449451878667,560624.655449451878667,547919.661308826878667,488404.482035199122038,560624.655449451878667,555422.602936329320073,491105.545717755274381,487003.928232708887663,554522.248055042698979,541116.986687244847417,400921.874775516160298,411310.253712732519489,546218.996513905003667,414911.671719629492145,395019.556156741688028,266172.433646527351812,396420.109593021043111,275976.278853741707280,562425.365997852757573,560624.655449451878667,560624.655449451878667,479206.754384388448671,560624.655449451878667,552521.464378895238042,540116.591629566624761,534720.352504146518186,539722.320323360385373,476005.496999134542421,477306.010609974386171,41111.461633390543284,111734.525393856281880,303287.000289288582280,368309.042141543992329,558223.707924427464604,547919.661308826878667,530718.787654293002561,555422.602936329320073,527917.693461788119748,533920.037440669955686,450005.845670273585711,456108.239469101710711,306888.408622113289312,156644.295066474413034,188756.897681830858346,Absan
6692.423092920638737,5992.149647791246025,26177.296691625269887,26177.296691625269887,26177.296691625269887,26177.296691625269887,26177.296691625269887,15973.308639257091272,26177.296691625269887,23176.121833532008168,15773.230056493421216,15773.230056493421216,26177.296691625269887,6692.423092920638737,"536",5992.149647791246025,5992.149647791246025,26177.296691625269887,26177.296691625269887,26177.296691625269887,23176.121833532008168,26177.296691625269887,26177.296691625269887,23176.121833532008168,23176.121833532008168,26177.296691625269887,26177.296691625269887,10183.588228023751071,13677.107801459815164,26177.296691625269887,14972.914985387462366,6692.423092920638737,5992.149647791246025,6692.423092920638737,5992.149647791246025,26177.296691625269887,26177.296691625269887,26177.296691625269887,20975.262687413829553,26177.296691625269887,26177.296691625269887,26177.296691625269887,26177.296691625269887,26177.296691625269887,20975.262687413829553,20975.262687413829553,0.000000000000000,2901.134094238281250,5992.149647791246025,5992.149647791246025,26177.296691625269887,26177.296691625269887,25977.218391149195668,26177.296691625269887,25977.218391149195668,26177.296691625269887,15973.308639257091272,15973.308639257091272,5992.149647791246025,2999.603841445025409,4994.107441172880499,Absan
87104.743244485289324,28611.203628540039062,121998.018323651500395,124999.198552838497562,121998.018323651500395,125899.552709332638187,121998.018323651500395,111193.774686566524906,121998.018323651500395,119697.113805524044437,110893.656766644649906,110693.578206769161625,121998.018323651500395,87104.743244485289324,"537",27010.575202941894531,74499.797626809522626,124999.198552838497562,123498.608999005489750,121998.018323651500395,118796.760984173946781,124999.198552838497562,121998.018323651500395,119697.113805524044437,117096.092603436642094,121998.018323651500395,119697.113805524044437,93597.870969974290347,103396.995543625787832,119697.113805524044437,109293.028363934688969,87104.743244485289324,60294.235882119581220,87104.743244485289324,65196.160518960401532,125899.552709332638187,123498.608999005489750,121998.018323651500395,117096.092603436642094,121998.018323651500395,121998.018323651500395,119697.113805524044437,119697.113805524044437,119697.113805524044437,116595.895566693478031,117096.092603436642094,16306.374969482421875,16306.374969482421875,77400.938259438888053,84703.805424050719012,121998.018323651500395,121998.018323651500395,119697.113805524044437,121998.018323651500395,119697.113805524044437,119697.113805524044437,111794.009771100216312,111994.087774029903812,78301.291546182081220,18507.238906860351562,18507.238906860351562,Absan
